,Classifier,Imputer,Mean,Modality,STD
0,SVM,Mean,0.397619047619048,fMRI ov,0.242062190993121
1,Tree,Mean,0.16,fMRI ov,0.195959179422654
2,SVM,Median,0.408571428571429,fMRI ov,0.213732619534458
3,Tree,Median,0.25,fMRI ov,0.247206616236522
4,SVM,Mean,0.283809523809524,DWI,0.148327027306147
5,Tree,Mean,0.485555555555556,DWI,0.143053128350498
6,SVM,Median,0.283809523809524,DWI,0.148327027306147
7,Tree,Median,0.522222222222222,DWI,0.247456193903557
8,SVM,Mean,0.1,EEG,0.2
9,Tree,Mean,0.34,EEG,0.307245829914744
10,SVM,Median,0.28,EEG,0.231516738055804
11,Tree,Median,0.313333333333333,EEG,0.269649978882089
12,SVM,Mean,0.375396825396825,All ov,0.262644458085572
13,Tree,Mean,0.123809523809524,All ov,0.152380952380952
14,SVM,Median,0.225396825396825,All ov,0.215873015873016
15,Tree,Median,0.155555555555556,All ov,0.193728841935141
